Category: All categories

Region,march: (5/15/25 - 6/15/25)
District of Columbia,100
Vermont,89
Maine,82
Maryland,80
Minnesota,80
Alaska,80
New Hampshire,79
California,79
Wisconsin,78
Oregon,78
Washington,78
Montana,77
Kansas,76
North Dakota,76
Massachusetts,76
Missouri,76
Delaware,76
West Virginia,76
New York,75
Rhode Island,75
Connecticut,75
Virginia,75
Iowa,75
New Mexico,74
Wyoming,74
Nebraska,73
Utah,72
Illinois,72
Indiana,72
Michigan,71
Pennsylvania,71
Kentucky,71
South Carolina,71
Arkansas,71
Colorado,71
New Jersey,70
Arizona,70
North Carolina,70
Oklahoma,70
South Dakota,69
Hawaii,69
Tennessee,69
Nevada,69
Mississippi,69
Ohio,68
Texas,68
Louisiana,68
Idaho,67
Alabama,67
Florida,64
Georgia,63
