Category: All categories

Day,march: (United States)
2025-05-15,55
2025-05-16,57
2025-05-17,50
2025-05-18,51
2025-05-19,56
2025-05-20,57
2025-05-21,59
2025-05-22,57
2025-05-23,56
2025-05-24,56
2025-05-25,55
2025-05-26,50
2025-05-27,52
2025-05-28,52
2025-05-29,53
2025-05-30,51
2025-05-31,48
2025-06-01,52
2025-06-02,52
2025-06-03,54
2025-06-04,52
2025-06-05,53
2025-06-06,54
2025-06-07,51
2025-06-08,52
2025-06-09,55
2025-06-10,58
2025-06-11,63
2025-06-12,64
2025-06-13,67
2025-06-14,100
2025-06-15,80
