Category: All categories

Region,protest: (5/15/25 - 6/15/25)
Washington,100
Oregon,98
California,95
Colorado,92
Vermont,86
Utah,78
Maine,78
Minnesota,77
Montana,72
New Hampshire,71
New Mexico,68
Idaho,65
Illinois,65
Nevada,64
Kansas,64
Wisconsin,63
Arizona,61
Massachusetts,61
Michigan,61
Delaware,60
Rhode Island,59
Pennsylvania,59
Missouri,59
Connecticut,58
District of Columbia,57
Nebraska,56
Iowa,55
North Carolina,55
Alaska,55
North Dakota,54
Hawaii,53
Wyoming,53
Oklahoma,53
Ohio,52
Maryland,52
Tennessee,51
South Carolina,50
Texas,50
Arkansas,50
Virginia,49
New York,49
Florida,48
Kentucky,48
South Dakota,47
Indiana,46
New Jersey,46
Georgia,44
West Virginia,42
Alabama,42
Louisiana,37
Mississippi,33
