Category: All categories

Region,riot: (5/15/25 - 6/15/25)
Illinois,100
California,99
Nevada,91
Washington,88
Colorado,84
Arizona,83
Utah,80
Idaho,77
Oregon,76
Alaska,76
Tennessee,74
Vermont,72
Michigan,71
Hawaii,70
New Mexico,69
Oklahoma,68
Minnesota,66
North Dakota,66
Missouri,66
Indiana,66
Wisconsin,65
South Dakota,65
Kansas,65
Ohio,64
Florida,64
New Hampshire,64
Arkansas,63
Georgia,62
Kentucky,61
Texas,61
Montana,61
Wyoming,61
Louisiana,61
Connecticut,61
West Virginia,60
Rhode Island,60
Virginia,59
New Jersey,59
Maine,59
Iowa,59
North Carolina,58
Alabama,58
Pennsylvania,58
South Carolina,57
Maryland,57
Nebraska,57
New York,57
Mississippi,57
Massachusetts,56
Delaware,52
District of Columbia,51
