Category: All categories

Region,united airlines: (5/15/25 - 6/15/25)
Hawaii,100
Colorado,88
Wyoming,71
New Jersey,69
Illinois,57
District of Columbia,55
Montana,52
California,43
Texas,41
Nevada,39
Nebraska,38
South Dakota,38
Maryland,37
Virginia,36
New Mexico,35
Alaska,35
North Dakota,34
Idaho,33
Arizona,30
Wisconsin,29
Kansas,29
Florida,28
Vermont,28
Oregon,28
Iowa,27
Louisiana,26
Ohio,26
New York,25
Missouri,24
Pennsylvania,23
Oklahoma,22
Arkansas,22
Washington,22
Utah,21
Indiana,21
Maine,21
Tennessee,21
Massachusetts,20
North Carolina,19
Connecticut,18
South Carolina,18
Delaware,17
Kentucky,17
Mississippi,17
New Hampshire,16
Minnesota,16
West Virginia,15
Georgia,15
Michigan,15
Alabama,15
Rhode Island,14
