Category: All categories

Region,"demonstration: (6/16/25, 10:11 AM - 6/17/25, 10:11 AM)"
Oregon,100
New Mexico,77
West Virginia,65
New Hampshire,56
District of Columbia,53
California,50
Louisiana,50
Arizona,48
Pennsylvania,48
Washington,47
Utah,46
Indiana,44
Maryland,43
Wisconsin,43
New Jersey,43
Massachusetts,42
Idaho,41
New York,41
Florida,39
Ohio,38
Oklahoma,38
Minnesota,37
Colorado,37
Virginia,36
Alabama,35
North Carolina,34
Georgia,34
Missouri,34
South Carolina,34
Michigan,34
Texas,32
Iowa,31
Connecticut,28
Tennessee,27
Illinois,27
Nevada,23
Kentucky,23
Alaska,
Nebraska,
Rhode Island,
North Dakota,
South Dakota,
Montana,
Mississippi,
Maine,
Kansas,
Vermont,
Hawaii,
Delaware,
Arkansas,
Wyoming,
