Category: All categories

Region,"protest: (6/16/25, 10:06 AM - 6/17/25, 10:06 AM)"
Utah,100
Idaho,50
Montana,50
Alaska,47
Oregon,47
Washington,46
Hawaii,43
Wyoming,42
Colorado,41
California,41
Vermont,40
New Mexico,37
Nevada,36
North Dakota,35
Arizona,35
New Hampshire,33
Missouri,33
Maine,33
Kansas,32
South Dakota,31
Minnesota,31
Wisconsin,31
Iowa,31
Illinois,30
Michigan,29
Nebraska,29
Oklahoma,28
Pennsylvania,28
Virginia,28
Indiana,28
District of Columbia,28
Tennessee,27
Rhode Island,27
Arkansas,27
Texas,27
West Virginia,26
Kentucky,26
Maryland,26
Ohio,26
North Carolina,25
Alabama,25
South Carolina,25
Connecticut,25
Florida,24
Massachusetts,24
Delaware,24
New Jersey,22
New York,22
Georgia,22
Mississippi,22
Louisiana,21
