Category: All categories

Region,"riot: (6/16/25, 10:07 AM - 6/17/25, 10:07 AM)"
Wyoming,100
Oregon,99
California,97
Illinois,92
Washington,86
Colorado,83
Nevada,80
Hawaii,79
Utah,79
Arizona,79
Oklahoma,75
Indiana,71
Tennessee,71
Kansas,68
Nebraska,67
Missouri,66
Kentucky,66
Vermont,65
Idaho,65
Texas,64
Ohio,64
Louisiana,64
Michigan,64
Georgia,63
Pennsylvania,63
Wisconsin,62
Florida,62
New Jersey,62
New Mexico,61
Alabama,60
South Carolina,60
Virginia,60
New York,59
Minnesota,58
District of Columbia,58
Arkansas,57
North Dakota,57
Massachusetts,57
Montana,56
North Carolina,56
Maryland,55
Connecticut,55
Delaware,54
South Dakota,53
West Virginia,53
Alaska,52
New Hampshire,51
Iowa,49
Maine,48
Rhode Island,47
Mississippi,40
