Category: All categories

Region,"strike: (6/16/25, 10:13 AM - 6/17/25, 10:13 AM)"
Colorado,100
Nebraska,66
District of Columbia,65
Rhode Island,61
Wyoming,60
North Carolina,59
Alaska,59
Idaho,57
Washington,56
Montana,55
Alabama,54
Nevada,54
Tennessee,54
Arkansas,54
Mississippi,53
Massachusetts,52
California,52
Kansas,51
Arizona,51
Kentucky,51
Virginia,50
Texas,50
Iowa,50
Oklahoma,50
Pennsylvania,50
Maryland,49
Florida,49
Indiana,49
Maine,49
Minnesota,49
South Dakota,49
New Hampshire,49
Utah,48
Oregon,47
Illinois,47
Georgia,47
Louisiana,47
Wisconsin,46
Michigan,45
Missouri,45
Ohio,45
Connecticut,44
West Virginia,44
North Dakota,44
South Carolina,43
Hawaii,43
New Jersey,43
New York,42
New Mexico,42
Vermont,42
Delaware,35
