Category: All categories

Region,"united airlines: (6/16/25, 10:04 AM - 6/17/25, 10:04 AM)"
Hawaii,100
Colorado,85
New Jersey,74
Wyoming,65
District of Columbia,56
Illinois,55
Montana,52
California,44
Texas,42
North Dakota,41
Virginia,40
Nevada,40
Nebraska,40
New Mexico,40
South Dakota,40
Maryland,38
Alaska,33
Idaho,33
Oregon,32
Wisconsin,30
Arizona,29
Iowa,29
Louisiana,28
Kansas,28
Vermont,25
Pennsylvania,25
Ohio,25
New York,24
Missouri,24
Florida,23
Utah,22
Oklahoma,22
Connecticut,22
Washington,21
Tennessee,20
Indiana,20
Mississippi,19
Massachusetts,19
Delaware,18
North Carolina,18
Arkansas,18
South Carolina,17
New Hampshire,17
Minnesota,17
Kentucky,17
Maine,17
Alabama,16
Michigan,16
Georgia,13
Rhode Island,12
West Virginia,11
