Category: All categories

Region,"demonstration: (6/17/25, 10:06 PM - 6/18/25, 10:06 PM)"
District of Columbia,100
Idaho,78
Oregon,74
Kansas,60
Iowa,57
Louisiana,51
Utah,51
Virginia,47
Arkansas,47
New Mexico,46
California,44
Massachusetts,42
Michigan,42
Missouri,42
Alabama,41
Indiana,41
Maryland,40
New York,38
Ohio,38
Pennsylvania,37
Washington,36
Texas,34
North Carolina,34
New Jersey,33
Arizona,33
Minnesota,32
Illinois,32
Colorado,32
Oklahoma,30
Florida,29
Georgia,28
Connecticut,27
Tennessee,26
Wisconsin,25
South Carolina,24
Alaska,
Nevada,
New Hampshire,
Nebraska,
Rhode Island,
North Dakota,
South Dakota,
Montana,
Mississippi,
Maine,
Kentucky,
Vermont,
Hawaii,
Delaware,
West Virginia,
Wyoming,
