Category: All categories

Time,demonstration: (United States)
2025-06-17T22:04:00-05:00,21
2025-06-17T22:12:00-05:00,0
2025-06-17T22:20:00-05:00,0
2025-06-17T22:28:00-05:00,0
2025-06-17T22:36:00-05:00,31
2025-06-17T22:44:00-05:00,0
2025-06-17T22:52:00-05:00,0
2025-06-17T23:00:00-05:00,0
2025-06-17T23:08:00-05:00,29
2025-06-17T23:16:00-05:00,0
2025-06-17T23:24:00-05:00,0
2025-06-17T23:32:00-05:00,0
2025-06-17T23:40:00-05:00,0
2025-06-17T23:48:00-05:00,0
2025-06-17T23:56:00-05:00,42
2025-06-18T00:04:00-05:00,0
2025-06-18T00:12:00-05:00,0
2025-06-18T00:20:00-05:00,0
2025-06-18T00:28:00-05:00,0
2025-06-18T00:36:00-05:00,0
2025-06-18T00:44:00-05:00,0
2025-06-18T00:52:00-05:00,0
2025-06-18T01:00:00-05:00,0
2025-06-18T01:08:00-05:00,62
2025-06-18T01:16:00-05:00,0
2025-06-18T01:24:00-05:00,0
2025-06-18T01:32:00-05:00,0
2025-06-18T01:40:00-05:00,0
2025-06-18T01:48:00-05:00,0
2025-06-18T01:56:00-05:00,0
2025-06-18T02:04:00-05:00,0
2025-06-18T02:12:00-05:00,0
2025-06-18T02:20:00-05:00,0
2025-06-18T02:28:00-05:00,0
2025-06-18T02:36:00-05:00,0
2025-06-18T02:44:00-05:00,0
2025-06-18T02:52:00-05:00,0
2025-06-18T03:00:00-05:00,0
2025-06-18T03:08:00-05:00,0
2025-06-18T03:16:00-05:00,0
2025-06-18T03:24:00-05:00,0
2025-06-18T03:32:00-05:00,0
2025-06-18T03:40:00-05:00,0
2025-06-18T03:48:00-05:00,0
2025-06-18T03:56:00-05:00,0
2025-06-18T04:04:00-05:00,0
2025-06-18T04:12:00-05:00,0
2025-06-18T04:20:00-05:00,0
2025-06-18T04:28:00-05:00,0
2025-06-18T04:36:00-05:00,0
2025-06-18T04:44:00-05:00,100
2025-06-18T04:52:00-05:00,0
2025-06-18T05:00:00-05:00,0
2025-06-18T05:08:00-05:00,0
2025-06-18T05:16:00-05:00,0
2025-06-18T05:24:00-05:00,0
2025-06-18T05:32:00-05:00,0
2025-06-18T05:40:00-05:00,0
2025-06-18T05:48:00-05:00,0
2025-06-18T05:56:00-05:00,0
2025-06-18T06:04:00-05:00,0
2025-06-18T06:12:00-05:00,0
2025-06-18T06:20:00-05:00,0
2025-06-18T06:28:00-05:00,0
2025-06-18T06:36:00-05:00,48
2025-06-18T06:44:00-05:00,0
2025-06-18T06:52:00-05:00,0
2025-06-18T07:00:00-05:00,0
2025-06-18T07:08:00-05:00,33
2025-06-18T07:16:00-05:00,38
2025-06-18T07:24:00-05:00,34
2025-06-18T07:32:00-05:00,32
2025-06-18T07:40:00-05:00,55
2025-06-18T07:48:00-05:00,0
2025-06-18T07:56:00-05:00,24
2025-06-18T08:04:00-05:00,28
2025-06-18T08:12:00-05:00,33
2025-06-18T08:20:00-05:00,32
2025-06-18T08:28:00-05:00,0
2025-06-18T08:36:00-05:00,26
2025-06-18T08:44:00-05:00,26
2025-06-18T08:52:00-05:00,21
2025-06-18T09:00:00-05:00,27
2025-06-18T09:08:00-05:00,21
2025-06-18T09:16:00-05:00,38
2025-06-18T09:24:00-05:00,29
2025-06-18T09:32:00-05:00,28
2025-06-18T09:40:00-05:00,24
2025-06-18T09:48:00-05:00,25
2025-06-18T09:56:00-05:00,29
2025-06-18T10:04:00-05:00,29
2025-06-18T10:12:00-05:00,26
2025-06-18T10:20:00-05:00,25
2025-06-18T10:28:00-05:00,25
2025-06-18T10:36:00-05:00,20
2025-06-18T10:44:00-05:00,24
2025-06-18T10:52:00-05:00,23
2025-06-18T11:00:00-05:00,19
2025-06-18T11:08:00-05:00,20
2025-06-18T11:16:00-05:00,18
2025-06-18T11:24:00-05:00,25
2025-06-18T11:32:00-05:00,23
2025-06-18T11:40:00-05:00,27
2025-06-18T11:48:00-05:00,21
2025-06-18T11:56:00-05:00,18
2025-06-18T12:04:00-05:00,21
2025-06-18T12:12:00-05:00,25
2025-06-18T12:20:00-05:00,17
2025-06-18T12:28:00-05:00,23
2025-06-18T12:36:00-05:00,27
2025-06-18T12:44:00-05:00,23
2025-06-18T12:52:00-05:00,0
2025-06-18T13:00:00-05:00,30
2025-06-18T13:08:00-05:00,26
2025-06-18T13:16:00-05:00,18
2025-06-18T13:24:00-05:00,23
2025-06-18T13:32:00-05:00,29
2025-06-18T13:40:00-05:00,18
2025-06-18T13:48:00-05:00,17
2025-06-18T13:56:00-05:00,19
2025-06-18T14:04:00-05:00,21
2025-06-18T14:12:00-05:00,20
2025-06-18T14:20:00-05:00,30
2025-06-18T14:28:00-05:00,0
