Category: All categories

Region,"march: (6/17/25, 10:05 PM - 6/18/25, 10:05 PM)"
Alaska,100
District of Columbia,78
Mississippi,72
North Dakota,72
Missouri,69
Delaware,68
Hawaii,67
Alabama,67
Kansas,67
Arizona,67
Virginia,66
Kentucky,66
California,66
New York,66
Tennessee,65
Minnesota,65
Maine,64
Massachusetts,64
Maryland,63
Wisconsin,63
West Virginia,63
Oklahoma,63
Michigan,63
Ohio,62
Nevada,62
Arkansas,62
Connecticut,62
Iowa,62
Washington,61
North Carolina,61
Georgia,61
Pennsylvania,61
Illinois,60
Texas,60
Colorado,60
Utah,60
Idaho,60
Nebraska,60
South Dakota,59
Oregon,59
New Jersey,59
Indiana,59
Florida,59
Louisiana,59
Vermont,58
Rhode Island,57
New Mexico,57
South Carolina,56
New Hampshire,56
Montana,56
Wyoming,45
