Category: All categories

Region,"protest: (6/17/25, 10:03 PM - 6/18/25, 10:03 PM)"
Utah,100
Oregon,73
Hawaii,65
California,64
Washington,63
Idaho,57
Colorado,56
Nevada,55
North Dakota,55
District of Columbia,55
Wyoming,54
New Hampshire,52
New Mexico,52
Alaska,51
Montana,50
Maine,50
Vermont,48
Arizona,47
Missouri,46
Minnesota,46
Kansas,46
Michigan,43
Nebraska,43
Massachusetts,42
Pennsylvania,41
Texas,40
Connecticut,40
Rhode Island,40
Ohio,40
Wisconsin,39
Tennessee,39
Illinois,39
Iowa,38
Indiana,38
North Carolina,37
Oklahoma,37
West Virginia,37
New York,36
Maryland,36
Virginia,35
Delaware,35
South Dakota,34
Georgia,34
Kentucky,33
Arkansas,33
Florida,33
New Jersey,33
South Carolina,32
Louisiana,31
Mississippi,31
Alabama,29
