Category: All categories

Region,"united airlines: (6/17/25, 10:02 PM - 6/18/25, 10:02 PM)"
Hawaii,100
Colorado,80
Wyoming,77
New Jersey,70
Illinois,56
Montana,53
District of Columbia,50
California,43
Virginia,39
Nevada,38
Texas,37
Maryland,36
South Dakota,35
New Mexico,35
Nebraska,33
Vermont,33
Wisconsin,31
Oregon,31
Idaho,30
North Dakota,29
Iowa,28
Alaska,28
Arizona,26
Kansas,26
Ohio,24
Louisiana,24
Pennsylvania,24
New York,23
Missouri,23
Florida,23
Indiana,21
Washington,21
Massachusetts,19
North Carolina,19
Oklahoma,19
Utah,18
Maine,18
Rhode Island,17
South Carolina,17
Tennessee,17
Arkansas,17
Connecticut,16
Michigan,16
West Virginia,16
Georgia,16
Mississippi,15
Kentucky,15
Delaware,14
Alabama,13
Minnesota,12
New Hampshire,12
