Category: All categories

Region,"united airlines: (6/18/25, 8:58 PM - 6/19/25, 8:58 PM)"
Hawaii,100
Colorado,84
New Jersey,79
Wyoming,65
District of Columbia,59
Illinois,55
Montana,49
California,45
Maryland,41
Texas,41
Nevada,41
Virginia,40
Nebraska,38
Alaska,37
Vermont,37
South Dakota,33
New Mexico,33
Oregon,31
Idaho,31
Louisiana,29
Kansas,28
Arizona,28
Ohio,27
North Dakota,27
Iowa,27
Florida,26
Wisconsin,26
New York,26
Pennsylvania,26
Missouri,25
Washington,24
Massachusetts,21
North Carolina,21
South Carolina,21
Maine,20
Tennessee,20
Utah,20
Indiana,20
Arkansas,19
Connecticut,19
Oklahoma,19
Kentucky,18
Michigan,17
Delaware,17
Minnesota,16
New Hampshire,16
Mississippi,15
Alabama,15
West Virginia,15
Rhode Island,15
Georgia,14
