Category: All categories

Region,"united airlines: (6/18/25, 8:39 PM - 6/19/25, 8:39 PM)"
Hawaii,100
Colorado,88
New Jersey,79
Wyoming,71
Illinois,61
District of Columbia,61
Montana,54
California,47
Nevada,43
Texas,42
Maryland,42
Nebraska,42
Virginia,41
Vermont,36
South Dakota,34
New Mexico,34
Idaho,33
Oregon,32
Alaska,32
Louisiana,31
Kansas,29
Arizona,29
Ohio,28
Iowa,28
Florida,27
North Dakota,27
Wisconsin,27
Pennsylvania,27
New York,27
Missouri,27
Washington,25
Massachusetts,22
North Carolina,22
Maine,21
Oklahoma,21
South Carolina,21
Utah,21
Indiana,21
Tennessee,21
Connecticut,20
Arkansas,20
Kentucky,19
Michigan,18
West Virginia,17
Delaware,17
Minnesota,16
New Hampshire,16
Alabama,16
Rhode Island,15
Mississippi,15
Georgia,15
